fog_nodes,iot_tasks,cpu_limit,algorithm,fog_energy,cloud_energy,energy_saved_percent,qos_satisfaction,throughput
56,882,345,Round Robin,297.0,512.49,42.05,82.7,15.75
97,1115,440,Reinforcement Learning,314.28,475.81,33.95,79.59,11.49
19,646,672,FCFS,112.47,306.85,63.35,68.2,34.0
76,442,570,Reinforcement Learning,374.52,616.23,39.22,73.92,5.82
65,749,553,Round Robin,294.88,531.33,44.5,76.26,11.52
25,1696,870,QoS Aware Heuristic,416.39,512.72,18.79,97.78,67.84
87,1856,106,Reinforcement Learning,426.14,551.37,22.71,77.02,21.33
91,490,287,Bin Packing,192.21,329.27,41.63,83.45,5.38
79,1910,103,FCFS,119.37,216.26,44.8,96.9,24.18
79,1690,842,Round Robin,381.29,434.33,12.21,80.74,21.39
92,1579,744,QoS Aware Heuristic,491.11,584.6,15.99,70.06,17.16
28,967,224,Reinforcement Learning,278.66,530.72,47.49,75.24,34.54
7,369,114,FCFS,203.85,390.33,47.77,75.02,52.71
26,602,624,QoS Aware Heuristic,162.67,298.08,45.43,88.59,23.15
57,1288,729,Reinforcement Learning,214.98,417.07,48.45,71.84,22.6
6,1144,339,Round Robin,231.17,466.13,50.41,89.21,190.67
92,617,874,Bin Packing,269.55,408.16,33.96,95.57,6.71
34,968,459,Bin Packing,362.16,528.68,31.5,73.44,28.47
42,285,617,Round Robin,209.27,275.32,23.99,65.41,6.79
6,1354,419,FCFS,120.39,319.66,62.34,85.54,225.67
68,1036,330,Round Robin,249.31,388.41,35.81,74.43,15.24
64,1690,129,Reinforcement Learning,442.25,600.63,26.37,81.36,26.41
25,1975,633,FCFS,299.34,454.99,34.21,85.37,79.0
37,1960,255,Bin Packing,485.91,694.01,29.99,76.31,52.97
80,1235,729,Reinforcement Learning,301.45,494.57,39.05,96.99,15.44
62,1264,951,QoS Aware Heuristic,210.36,365.89,42.51,75.98,20.39
26,1082,804,QoS Aware Heuristic,177.33,231.57,23.42,72.29,41.62
93,109,498,QoS Aware Heuristic,377.81,583.05,35.2,95.43,1.17
53,942,445,Bin Packing,314.55,584.44,46.18,65.45,17.77
95,1890,294,Round Robin,341.6,583.99,41.51,64.97,19.89
63,274,267,FCFS,402.05,697.45,42.35,97.43,4.35
46,1892,476,Bin Packing,390.36,475.13,17.84,68.36,41.13
96,749,588,Reinforcement Learning,117.35,222.98,47.37,65.94,7.8
64,631,850,Reinforcement Learning,421.03,605.85,30.51,81.41,9.86
84,1878,461,QoS Aware Heuristic,313.08,422.05,25.82,61.87,22.36
19,1360,581,FCFS,256.68,315.32,18.6,84.8,71.58
66,1043,343,QoS Aware Heuristic,315.01,465.58,32.34,78.12,15.8
66,218,680,Reinforcement Learning,344.98,466.89,26.11,85.62,3.3
51,1135,706,Reinforcement Learning,159.8,275.74,42.05,71.36,22.25
66,1422,688,Round Robin,266.97,555.26,51.92,96.22,21.55
55,1515,270,Round Robin,234.23,343.84,31.88,70.82,27.55
59,63,612,Round Robin,240.16,322.52,25.54,85.5,1.07
68,213,505,QoS Aware Heuristic,136.53,217.86,37.33,97.8,3.13
7,1493,673,FCFS,163.94,415.52,60.55,76.03,213.29
55,806,306,Round Robin,164.73,393.44,58.13,66.46,14.65
11,1920,253,Bin Packing,249.29,331.66,24.84,62.74,174.55
